Model,Normalized Float,Tone Float,Tech Float,Preference Float
Campfire Andromeda 2019,5.7,5.585,6.25,6.0
Campfire Andromeda 2020,5.88,5.792,6.25,7.333
Campfire Andromeda Gold,5.0,4.5,6.5,5.5
Campfire Andromeda S,5.167,5.167,5.833,6.0
Campfire Ara,4.4,3.777,5.89,3.0
Campfire Atlas,3.8,4.208,4.0,4.5
Campfire Audio Saber,2.6,3.0,3.0,2.0
Campfire Comet,3.167,3.167,3.167,3.0
Campfire Dorado,2.5,2.0,3.5,
Campfire Dorado 2020,1.625,1.918,2.458,1.25
Campfire Equinox,2.0,2.0,2.5,
Campfire Holocene,4.05,3.25,5.5,4.0
Campfire Honeydew,1.525,1.832,2.0,1.75
Campfire IO,1.0,1.167,3.333,2.0
Campfire Jupiter,3.5,3.5,4.0,
Campfire Lyra II,3.5,3.5,3.5,
Campfire Mammoth,2.25,2.0,3.0,2.5
Campfire Nova,3.0,3.0,3.5,
Campfire Orion,3.333,3.5,3.833,3.5
Campfire Polaris V1,4.0,4.0,5.0,
Campfire Polaris V2,3.0,3.0,3.0,
Campfire Satsuma,2.9,2.958,2.875,2.5
Campfire Solaris,5.5,6.0,6.0,6.0
Campfire Solaris (2020),4.0,3.5,5.5,
Campfire Solaris (SE),4.5,4.0,5.5,
Campfire Solaris 2020,4.55,4.665,6.165,4.0
Campfire Solaris OG,5.6,5.33,6.67,5.0
Campfire Solstice,3.0,3.0,3.5,
Campfire Vega,3.5,3.0,4.5,
Campfire Vega (2020),1.5,2.5,1.5,
Campfire Vega 2020,1.1,1.25,2.415,1.1
Canal Works CW-U77,4.0,4.0,4.5,
Canal Works CW-U91,4.0,3.5,5.5,
Cardas A8,3.0,3.0,3.0,
Cat Ear Mia,2.5,3.0,2.5,3.0
CatEar Mia,3.5,3.5,3.5,
Cayin Fantasy,2.7,2.223,4.333,2.0
Cayin YB04,3.0,3.0,3.5,
Chikyu-Sekai 16/Cosmos,4.5,4.5,5.5,
Clariar i430,5.5,6.5,5.5,
Clariar i640,5.5,6.5,5.5,
Clear Tune Monitors CT-200,3.5,4.0,3.5,
Clear Tune Monitors CT-300 Pro,2.5,2.5,3.0,
Clear Tune Monitors CT-500 Elite,3.0,2.5,4.0,
Clear Tune Monitors CT-6E,4.5,4.5,4.5,
Colorfly Quintet,4.333,4.333,4.333,4.0
Cozoy Trio,2.5,2.5,2.5,
Craft Ears Argentum,4.5,5.0,4.5,
Craft Ears Aurum,4.5,5.5,4.5,
Craft Ears Aurum ,6.1,6.33,6.0,6.0
Craft Ears Craft TWO,4.0,4.0,4.0,
Craft Ears Cuprum,4.0,4.0,4.5,
Creative Aurvana Trio,3.5,3.5,3.5,
Custom Art Ei.3,3.5,3.5,3.5,
Custom Art FIBAE 1,3.0,3.0,3.5,
Custom Art FIBAE 2,3.5,3.5,4.0,
Custom Art FIBAE 3,3.0,2.5,4.5,
Custom Art FIBAE 4,3.5,3.5,4.0,
Custom Art FIBAE 7,4.5,5.0,4.5,
Custom Art FIBAE 7U,6.3,6.0,7.0,6.0
Custom Art FIBAE Black,3.667,3.777,3.557,3.0
Custom Art FIBAE ME,2.5,2.5,3.5,
Custom Art Harmony 8.2,3.5,4.0,3.5,
Custom Art Pro330v2,2.5,2.5,3.5,
CustomArt Fibae 7,4.0,5.5,5.0,4.5
DUNU DK-2001,4.5,4.5,5.0,
DUNU DK-3001 Pro,5.5,6.0,5.5,
DUNU DK-4001,4.5,4.5,5.5,
DUNU DN-1000,3.5,4.5,3.5,
DUNU DN-2000,4.0,4.0,4.0,
DUNU DN-2002,4.0,4.0,4.0,
DUNU EST 112,5.0,5.5,5.0,
DUNU Falcon Pro,4.4,4.443,4.777,5.0
DUNU Falcon Pro (Experimental),5.8,5.33,6.0,6.0
DUNU Kima,4.0,4.5,4.0,
DUNU Luna,5.0,4.0,7.9,
DUNU SA6,5.0,5.0,6.0,
DUNU SA6 Ultra,6.7,7.0,6.0,7.0
DUNU Talos,5.9,5.667,6.0,5.0
