Model,Normalized Float,Tone Float,Tech Float,Preference Float
Tanchjim Cora,4.5,5.5,4.0,
Tanchjim Darling,5.033,4.777,5.667,5.0
Tanchjim Echo,4.0,4.5,4.0,
Tanchjim Echo ,4.1,5.0,3.33,4.0
Tanchjim Hana,3.967,4.11,4.557,3.0
Tanchjim Hana 2021,5.45,6.0,5.67,5.25
Tanchjim Kara,5.5,,,7.0
Tanchjim New Hana (2021),5.0,5.5,5.0,
Tanchjim Ola,3.767,4.333,3.667,4.0
Tanchjim Oxygen,5.65,6.333,5.777,5.5
Tanchjim Prism,5.067,5.0,5.223,5.0
Tanchjim Tanya,4.067,4.333,3.89,4.0
Tanchjim Tanya DSP,5.0,,,5.0
Tanchjim Zero,3.533,4.333,3.667,3.0
Tangzu Wan'er,5.0,,,6.25
Tangzu Zetian Wu,5.833,6.0,6.0,4.0
Tangzu Zetian Wu Heyday,6.0,,,6.0
Tansio Mirai Land,4.333,4.11,4.557,5.0
Tansio Mirai Spark,5.2,4.67,6.0,5.0
"Tansio Mirai TSMR-12 ""Zodiac""",5.0,5.0,6.0,
Tansio Mirai TSMR-3 Pro,4.0,5.0,4.0,
Tansio Mirai TSMR-5,4.0,5.0,4.0,
Tansio Mirai Zodiac,5.2,5.0,5.67,5.0
Technics EAH-AZ70W,3.5,3.5,3.5,
TenHz T4 Pro,2.5,3.5,2.0,3.0
TenHz T5,2.5,3.5,3.0,3.0
ThieAudio Clairvoyance,6.0,8.7,5.5,
ThieAudio Elixir,4.3,5.0,4.223,6.0
ThieAudio Excalibur,5.967,6.0,5.89,6.0
ThieAudio Legacy 2,4.0,5.5,3.0,
ThieAudio Legacy 3,4.0,5.0,4.0,
ThieAudio Legacy 4,5.0,6.0,4.5,
ThieAudio Legacy 5,4.333,4.667,4.333,4.0
ThieAudio Legacy 9,4.7,4.89,4.89,5.0
ThieAudio Monarch,6.5,7.9,6.5,
ThieAudio Monarch Mk2,7.9,9.0,7.0,
ThieAudio Oracle,6.167,7.91,5.777,5.0
ThieAudio Oracle MKII,5.2,5.33,5.33,5.0
ThieAudio Prestige,6.1,6.0,6.33,6.0
ThieAudio V16 Divinity,7.0,7.9,7.0,
ThieAudio V16 Divinity ,6.2,6.33,6.33,6.0
ThieAudio Voyager 14,5.5,6.0,5.67,5.0
ThieAudio Voyager 14 (V14),5.0,5.0,6.0,
ThieAudio Voyager 3 (V3),4.0,4.0,4.5,
Thieaudio Clairvoyance,6.633,7.515,6.165,6.833
Thieaudio Elixir,4.75,5.0,5.0,4.5
Thieaudio Legacy 2,3.3,4.335,3.085,3.5
Thieaudio Legacy 3,3.2,3.67,3.0,3.0
Thieaudio Legacy 3 CIEM,4.0,5.0,3.5,4.5
Thieaudio Legacy 3 Univ,3.5,5.0,3.0,4.0
Thieaudio Legacy 4,4.55,5.5,5.0,4.5
Thieaudio Legacy 5,4.0,5.0,4.0,4.5
Thieaudio Legacy 9,4.5,6.0,5.0,4.5
Thieaudio Monarch,6.5,6.5,6.5,6.667
Thieaudio Monarch MK2,7.95,8.7,7.9,8.7
Thieaudio Monarch MKII,7.0,7.0,7.0,7.0
Thieaudio Oracle,6.5,,,9.5
Thieaudio Oracle MK2,5.5,,,3.0
Thieaudio Prestige,6.0,,,5.0
Thieaudio V16 Divinity,7.5,,,9.0
Thieaudio Voyager 14,6.0,6.0,6.5,6.5
Thieaudio Voyager 3,2.0,2.5,3.0,2.25
Tiandirenhe TD1,3.5,3.5,3.5,
Tin Audio P1 Max,5.1,5.0,5.33,5.0
Tin Audio T2 Pro,3.5,3.5,4.0,
Tin Buds 3,2.5,3.5,3.0,3.0
Tin HiFI T1,3.0,4.0,3.0,
Tin HiFi P1,3.0,4.0,3.0,
Tin HiFi P1 Plus,4.0,4.0,4.0,
Tin HiFi P2,4.0,4.0,4.5,
Tin HiFi T1 Plus,3.0,3.5,3.0,
Tin HiFi T2,4.0,4.5,4.0,
Tin HiFi T2 Evo,3.0,2.5,4.0,
Tin HiFi T2 Plus,4.0,5.5,3.5,
Tin HiFi T2000,3.0,3.5,3.0,
Tin HiFi T3,4.0,4.5,4.0,
Tin HiFi T3 Plus,4.5,5.5,4.0,
Tin HiFi T4,4.5,5.0,4.5,
Tin HiFi T5,3.5,3.5,3.5,
Tin Hifi C2,3.0,5.0,3.5,3.5
Tin Hifi C3,2.5,4.5,3.0,3.0
Tin Hifi C5,2.5,4.5,3.0,3.0
Tin Hifi P1,1.5,2.5,3.5,2.0
Tin Hifi P1 Plus,4.0,5.5,4.0,4.5
Tin Hifi P2,2.5,3.0,4.0,3.0
Tin Hifi T2,3.0,4.5,3.5,3.5
Tin Hifi T2 DLC,2.5,4.5,2.5,3.0
Tin Hifi T2 Evo,0.2,0.5,2.0,0.5
Tin Hifi T2 Pro,1.0,2.0,2.5,1.5
Tin Hifi T3,3.5,5.0,3.5,4.0
Tin Hifi T4,4.0,5.5,4.5,4.5
Tin Hifi T4 Plus,3.0,5.0,3.5,3.5
Tin Hifi T5,0.5,1.0,1.0,1.5
Tin P1 Max,4.5,5.0,4.5,5.0
Tin T1 Plus,2.5,4.0,1.0,3.5
Tin T2 Plus,4.0,5.0,3.5,4.5
Tin T3 Plus,4.25,5.0,3.0,3.75
Tin TWS 2000,0.0,0.2,0.1,0.1
TinHifi C2 Mech Warrior,5.0,,,3.0
TinHifi P2,3.0,2.67,4.67,2.0
TinHifi T2,3.3,4.0,3.0,3.0
TinHifi T2 Evo,3.0,2.67,3.33,3.0
TinHifi T3,2.6,3.0,3.0,2.0
TinHifi T4,4.8,5.33,4.0,5.0
TinHifi T4 Plus,5.0,,,3.0
TinHifi T5,3.0,3.0,3.0,3.0
Tipsy Aurora,3.0,4.5,2.5,
Tipsy Dunmer,3.5,3.5,3.5,
Tipsy Dunmer Pro,2.667,2.5,3.167,2.0
Tipsy TTROMSO,2.667,3.0,3.167,3.5
Tralucent 1 Plus 1.2,3.5,4.5,3.5,
Tralucent 1 Plus 2.2,4.0,4.5,4.0,
Tralucent 1 Plus 2.3,3.0,3.0,4.0,
Tralucent 1 Plus 5.2,3.5,3.5,4.5,
Tralucent 1+Xplus,4.0,4.0,4.5,
Tri I4,2.5,3.0,3.5,3.0
Tripowin Lea,3.725,4.75,3.418,3.25
Tripowin TC-01,3.5,3.5,3.5,
Tripowin TC01,3.0,3.5,3.25,3.25
Tripowin TP10,2.167,2.5,3.167,2.0
Tripowin x HBB Mele,4.0,4.777,3.89,4.0
Tripowin x HBB Olina,4.4,4.89,4.333,5.0
Tripowin x HBB Olina SE,4.667,5.5,4.0,5.0
TruthEar x Crinacle Zero,4.0,5.0,4.5,4.5
Truthear Hexa,5.5,7.0,5.0,
Truthear Hola,5.0,7.0,4.0,
Truthear x Crinacle Zero,4.6,5.0,4.33,4.5
Truthears Hexa,5.4,5.67,5.33,5.0
Truthears Hola,4.65,5.0,4.0,4.25
Truthears Zero:Red,6.0,,,6.5
Truthears x Crinacle Zero,5.5,,,5.0
UFOEar UFO-111,3.0,2.0,4.5,
UFOEar UFO-112,4.0,4.0,4.0,
Ultimate Ears Live,3.0,3.0,3.0,
Ultimate Ears Reference Monitor (UERM),6.0,7.0,6.0,
Ultimate Ears Reference Remastered (UERR),5.5,5.5,6.0,
Ultimate Ears Super.Fi 5 Extra Bass (SF5EB),2.0,2.0,2.5,
"Ultimate Ears Triple Fi 10 ""TF10""",3.5,3.5,3.5,
Ultimate Ears UE11 Pro,4.0,4.0,4.0,
Ultimate Ears UE18+ Pro Gen 2,5.0,5.0,5.0,
Ultimate Ears UE18+ Pro Gen 3,4.0,3.0,5.5,
Ultimate Ears UE4 Pro,5.0,5.0,5.5,
Ultimate Ears UE5 Pro,3.0,4.0,3.0,
Ultimate Ears UE6 Pro,4.5,4.5,4.5,
Ultimate Ears UE7 Pro,4.0,4.5,4.0,
Ultimate Ears UE900S,2.5,2.5,3.5,
Unique Meldody 3DT,4.3,4.0,5.0,4.0
Unique Melody 2HT “Terminator”,5.5,5.5,5.5,
Unique Melody 3D Terminator,4.0,3.5,5.0,
Unique Melody 3DD-Ti,0.5,0.5,4.0,
Unique Melody ME1,1.5,1.067,2.833,2.0
Unique Melody MEST,6.175,6.25,6.668,7.0
Unique Melody MEST CIEM,6.5,6.5,7.9,7.0
Unique Melody MEST MK1,6.5,,,7.0
Unique Melody MEST MK2,6.7,7.0,7.165,6.833
Unique Melody MEST MK3,7.0,7.0,7.9,7.9
Unique Melody MEST Mini,4.2,4.0,4.67,4.0
Unique Melody MEST Mk2,5.5,5.5,6.0,
Unique Melody MEXT,5.0,4.875,5.875,4.75
Unique Melody MacBeth,4.5,4.5,5.5,
Unique Melody Macbeth Ti,4.5,5.5,4.0,
Unique Melody Maestro V2,5.0,4.5,6.5,
Unique Melody Martian,5.0,6.0,5.0,
Unique Melody Mason V3+,5.5,5.5,6.5,
Unique Melody Maven,4.5,4.0,5.5,
Unique Melody Maverick II,4.0,5.0,4.0,
Unique Melody Merlin V2,5.0,6.0,4.5,
Unique Melody Mest (Japan),6.5,,,7.0
Unique Melody Mini MEST,4.0,4.167,4.667,4.5
Unique Melody Miracle V2,4.5,4.5,5.0,
Unique Melody Mirage,5.0,5.0,5.0,
Unique Melody U-FREE,1.0,3.5,2.0,1.5
Unknown Custom Juno,2.5,2.5,2.5,
Unknown Custom Quad 2.0,2.5,2.5,2.5,
Unknown Custom UCD-2,3.5,3.5,3.5,
Unknown Custom UCD-3,2.5,2.5,2.5,
Urbanfun YBF-ISS014,4.0,4.0,4.0,
VE Monk IE Biggie,0.0,0.0,0.5,
VE Monk IE Smalls,0.5,0.5,0.5,
VSonic Ares,3.5,4.0,3.5,
VSonic GR01,3.5,4.5,3.0,
VSonic GR07,2.0,2.0,2.0,2.0
VSonic GR07 Bass Edition,4.0,4.5,4.0,
VSonic GR07 Classic,4.0,4.5,4.0,
VSonic GR07X,4.0,4.0,4.0,
VSonic VC02,3.0,3.0,4.0,
VSonic VS7,3.5,4.0,3.5,
VSonic VSD1S,3.0,3.5,3.0,
VSonic VSD2S,3.0,3.0,3.5,
VSonic VSD3S,3.0,3.0,3.5,
Veedix Diamond String,4.5,5.0,4.5,
"Venture Electronics Bonus In-Ears ""BIE""",3.5,4.0,3.5,
Venture Electronics Duke,2.5,2.5,3.0,
Vision Ears EVE 20,4.5,4.0,6.0,
Vision Ears EVE20,3.75,4.0,4.75,4.0
Vision Ears EXT,5.833,5.833,6.333,5.5
Vision Ears Elysium,5.725,5.708,6.582,5.75
Vision Ears Erlkonig,6.45,6.168,7.308,6.5
Vision Ears PHoNIX,6.5,6.5,7.9,7.0
Vision Ears VE2,4.0,5.0,3.5,
Vision Ears VE3.2,4.5,5.0,4.5,
Vision Ears VE4.2,4.0,4.0,4.5,
Vision Ears VE5,4.0,4.0,5.0,
Vision Ears VE6,4.0,3.5,5.0,
Vision Ears VE7,5.967,6.11,6.11,7.0
Vision Ears VE8,6.125,6.042,6.558,6.5
Vive XE800,4.0,4.5,4.0,
W+G T2,3.0,3.0,3.5,
WG T-One,2.833,3.0,3.0,3.0
Warbler Prelude,2.5,2.5,3.5,
Westone 4R,2.5,2.5,3.0,
Westone ES60,4.5,5.0,4.5,
Westone Mach 80,4.0,4.0,5.0,
Westone Pro X50,2.0,2.0,2.0,
Westone UM Pro 10,1.5,1.5,1.5,
Westone UM Pro 20,1.5,1.5,2.0,
Westone UM Pro 30,1.5,1.5,2.0,
Westone UM Pro 50,1.5,1.5,2.5,
Westone W10,1.5,1.5,1.5,
Westone W20,3.0,3.0,3.0,
Westone W30,2.7,2.89,3.443,2.5
Westone W40,2.633,2.557,3.443,2.0
Westone W50,2.0,2.0,2.5,
Westone W60,2.5,2.5,2.5,
Westone W80,3.0,2.0,5.5,
"Whizzer A-HE03 ""Kylin""",3.0,3.0,3.0,
Whizzer A15,3.5,3.5,3.5,
Whizzer A15 Pro,4.0,5.0,4.0,
Whizzer HE01,3.5,4.0,3.5,
Whizzer Kylin,2.5,3.5,3.0,3.0
XENN Mangird Tea 2,5.5,,,4.0
XENNS Mangird Tea 2,4.667,5.0,4.667,5.5
XENNS UP,5.0,5.5,5.0,
Xenns Mangird Tea 2,5.55,6.33,5.5,5.0
Xenns Mangird Top,6.0,7.9,6.0,6.5
Xenns Mangird Up,5.0,,,3.0
Yamaha EPH100,3.0,3.0,3.5,
YanYin Aladdin,4.3,4.67,3.67,4.5
Yanyin Aladdin,4.0,4.0,4.5,
Yanyin Canon,4.0,4.0,4.0,
Yanyin Moonlight,5.333,5.0,5.0,6.0
Yanyin x HBB Mahina,5.333,5.0,5.0,6.5
Yinyoo Ash,2.5,2.5,3.5,
Yu9 U556,4.7,5.0,4.0,5.0
Zero Audio Carbo Basso ZH-DX210-CB,3.5,3.5,3.5,
Zero Audio Carbo Doppio ZH-BX700,3.0,3.5,3.0,
Zero Audio Carbo Singolo ZH-BS150-CS,3.0,3.0,3.0,
Zero Audio Carbo Tenore ZH-DX200-CT,4.0,4.0,4.0,
Zero Audio Duoza ZH-DWX10,3.5,3.5,3.5,
ddHiFi Janus,1.5,1.5,2.5,
fineEars TSH-HR1000K,3.0,4.0,2.5,
iBasso AM05,5.5,5.5,5.5,
iBasso IT00,3.5,3.5,3.5,
iBasso IT01,3.5,3.5,3.5,
iBasso IT01S,4.0,4.0,4.5,
iBasso IT01X,3.433,3.667,3.333,3.0
iBasso IT01s,3.0,3.5,3.5,3.5
iBasso IT03,4.0,4.0,4.0,
iBasso IT03w,3.5,4.0,3.5,
iBasso IT04,4.833,5.0,5.0,4.0
iBasso IT07,5.0,5.0,5.0,
iSine 20 (w/ Cipher cable),6.1,6.33,7.33,5.0
ikko OH1,4.5,4.5,4.5,
ikko OH10,4.0,4.0,4.5,
ikko OH1S,4.0,4.0,4.5,
ikko OH2,3.5,3.5,3.5,
ikko OH7,4.0,4.5,4.0,
oBravo Cupid,1.733,1.443,2.443,1.0
oBravo Ra 21 C,1.5,1.5,2.5,
oBravo Ra C-Cu,0.5,0.5,2.0,
qdc 3SH,3.5,3.5,4.0,
qdc 4SS,5.5,5.5,6.5,
qdc 5SH,5.0,5.0,5.0,
qdc 8SH,5.5,5.5,6.5,
qdc 8SL/Gemini/Anole VX,7.167,6.5,8.7,11.0
qdc 8SS,6.0,6.0,6.5,
qdc Anole V14,6.5,6.443,6.777,6.0
qdc Anole V3,4.0,4.0,5.0,
qdc Anole V6,5.0,5.0,5.5,
qdc Anole VX,6.95,6.585,7.85,7.45
qdc Dmagic,4.5,5.0,4.5,
qdc Fusion,4.0,4.0,4.5,
qdc Neptune,4.5,5.0,4.5,
qdc Tiger,5.5,5.5,6.5,
qdc Uranus,3.375,3.5,3.875,3.0
qkz VK4,2.5,4.5,1.5,3.0
